11215,错过,2015-06-21 19:58:00.429572,2015-06-21 19:58:00.429572,cuo4 guo4\n
11220,挂牵,2015-06-21 19:58:00.429572,2015-06-21 19:58:00.429572,gua4 qian1\n
4399,集锦,2015-06-21 16:41:18.139641,2015-06-21 16:41:18.139641,ji2 jin3\n
4412,群体,2015-06-21 16:42:17.102226,2015-06-21 16:42:17.102226,qun2 ti3\n
4405,集体,2015-06-21 16:42:05.013628,2015-06-21 16:42:05.013628,ji2 ti3\n
4397,逑,2015-06-21 16:41:18.139641,2015-06-21 16:41:18.139641,qiu2\n
11228,弹道导弹,2015-06-21 19:58:17.313855,2015-06-21 19:58:17.313855,dan4 dao4 dao3 dan4\n
11229,发射物,2015-06-21 19:58:17.313855,2015-06-21 19:58:17.313855,fa1 she4 wu4\n
11230,不见的,2015-06-21 19:58:21.497615,2015-06-21 19:58:21.497615,bu4 jian4 de5\n
11231,代表团,2015-06-21 19:58:26.464386,2015-06-21 19:58:26.464386,dai4 biao3 tuan2\n
11232,传道部,2015-06-21 19:58:26.464386,2015-06-21 19:58:26.464386,chuan2 dao4 bu4\n
11233,传道,2015-06-21 19:58:26.464386,2015-06-21 19:58:26.464386,chuan2 dao4\n
11237,下雾,2015-06-21 19:58:33.000495,2015-06-21 19:58:33.000495,xia4 wu4\n
11239,傎,2015-06-21 19:58:41.892112,2015-06-21 19:58:41.892112,dian1\n
11242,弄错,2015-06-21 19:58:41.892112,2015-06-21 19:58:41.892112,nong4 cuo4\n
11244,误解,2015-06-21 19:58:58.903652,2015-06-21 19:58:58.903652,wu4 jie3\n
11241,误会,2015-06-21 19:58:41.892112,2015-06-21 19:58:41.892112,wu4 hui4\n
11246,插花,2015-06-21 19:59:01.515671,2015-06-21 19:59:01.515671,cha1 hua1\n
11236,瀣,2015-06-21 19:58:33.000495,2015-06-21 19:58:33.000495,xie4\n
11263,样板,2015-06-21 19:59:36.067497,2015-06-21 19:59:36.067497,yang2 ban3\n
11270,谦虚,2015-06-21 20:00:10.706161,2015-06-21 20:00:10.706161,qian1 xu1\n
11297,金额,2015-06-21 20:01:03.50609,2015-06-21 20:01:03.50609,jin1 e2\n
11275,湿度,2015-06-21 20:00:28.331886,2015-06-21 20:00:28.331886,shi1 du4\n
11276,澍,2015-06-21 20:00:28.331886,2015-06-21 20:00:28.331886,shu4\n
11200,札记,2015-06-21 19:57:27.702896,2015-06-21 19:57:27.702896,zha2 ji4\n
11288,契机,2015-06-21 20:00:52.754297,2015-06-21 20:00:52.754297,qi4 ji1\n
11289,臾,2015-06-21 20:00:52.754297,2015-06-21 20:00:52.754297,yu2\n
11290,星期一,2015-06-21 20:01:01.673344,2015-06-21 20:01:01.673344,xing1 qi1 yi1\n
11292,财帛,2015-06-21 20:01:03.50609,2015-06-21 20:01:03.50609,cai2 bo2\n
11293,钞,2015-06-21 20:01:03.50609,2015-06-21 20:01:03.50609,chao1\n
11294,蚨,2015-06-21 20:01:03.50609,2015-06-21 20:01:03.50609,fu2\n
11295,锾,2015-06-21 20:01:03.50609,2015-06-21 20:01:03.50609,huan2\n
11296,货,2015-06-21 20:01:03.50609,2015-06-21 20:01:03.50609,huo4\n
11269,现今,2015-06-21 20:00:04.147082,2015-06-21 20:00:04.147082,xian4 jin1\n
12478,柱石,2015-06-21 20:41:41.120263,2015-06-21 20:41:41.120263,zhu4 shi2\n
12479,枕头,2015-06-21 20:41:46.900502,2015-06-21 20:41:46.900502,zhen3 tou2\n
12481,靠垫,2015-06-21 20:41:46.900502,2015-06-21 20:41:46.900502,kao4 dian4\n
12482,靠枕,2015-06-21 20:41:46.900502,2015-06-21 20:41:46.900502,kao4 zhen3\n
11260,机型,2015-06-21 19:59:36.067497,2015-06-21 19:59:36.067497,ji1 xing2\n
11268,近代的,2015-06-21 20:00:04.147082,2015-06-21 20:00:04.147082,jin4 dai4 de5\n
11261,式样,2015-06-21 19:59:36.067497,2015-06-21 19:59:36.067497,shi4 yang2\n
11273,润泽,2015-06-21 20:00:21.769286,2015-06-21 20:00:21.769286,run4 ze2\n
11245,搅拌,2015-06-21 19:59:01.515671,2015-06-21 19:59:01.515671,jiao3 ban4\n
11262,试样,2015-06-21 19:59:36.067497,2015-06-21 19:59:36.067497,shi4 yang2\n
11234,烟雾,2015-06-21 19:58:33.000495,2015-06-21 19:58:33.000495,yan1 wu4\n
11254,杂,2015-06-21 19:59:01.515671,2015-06-21 19:59:01.515671,za2\n
7481,代替,2015-06-21 21:29:37.991528,2015-06-21 21:29:37.991528,dai4 ti4\n
7484,使兴奋,2015-06-21 17:58:15.885317,2015-06-21 17:58:15.885317,shi3 xing1 fen4\n
11304,偷听,2015-06-21 20:01:18.729794,2015-06-21 20:01:18.729794,tou1 ting1\n
